netstat -ano

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    0.0.0.0:49664          172.64.155.209:443                     4056
  UDP    0.0.0.0:50001          *:*                                    5028
  UDP    0.0.0.0:50071          *:*                                    18412
  UDP    0.0.0.0:50080          *:*                                    4076
  UDP    0.0.0.0:52663          *:*                                    16060
  UDP    0.0.0.0:52665          *:*                                    16060
  UDP    0.0.0.0:54069          35.190.80.1:443                        4056
  UDP    0.0.0.0:54168          192.178.211.84:443                     4056
  UDP    0.0.0.0:56750          172.64.41.3:443                        4056
  UDP    0.0.0.0:56884          150.171.22.12:443                      4056
  UDP    0.0.0.0:59011          162.159.61.3:443                       4056
  UDP    0.0.0.0:61566          192.178.211.84:443                     4056
  UDP    0.0.0.0:61956          *:*                                    18412
  UDP    0.0.0.0:62859          172.217.24.106:443                     4056
  UDP    127.0.0.1:1900         *:*                                    16060
  UDP    127.0.0.1:1900         *:*                                    13804
  UDP    127.0.0.1:6771         *:*                                    16060
  UDP    127.0.0.1:52649        *:*                                    16060
  UDP    127.0.0.1:52656        *:*                                    16060
  UDP    127.0.0.1:63692        127.0.0.1:63692                        5428
  UDP    127.0.0.1:64883        *:*                                    13804
  UDP    192.168.29.188:137     *:*                                    4
  UDP    192.168.29.188:138     *:*                                    4
  UDP    192.168.29.188:1900    *:*                                    13804
  UDP    192.168.29.188:1900    *:*                                    16060
  UDP    192.168.29.188:6771    *:*                                    16060
  UDP    192.168.29.188:52648   *:*                                    16060
  UDP    192.168.29.188:52655   *:*                                    16060
  UDP    192.168.29.188:52662   *:*                                    16060
  UDP    192.168.29.188:64882   *:*                                    13804
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    16060
  UDP    192.168.56.1:1900      *:*                                    13804
  UDP    192.168.56.1:6771      *:*                                    16060
  UDP    192.168.56.1:52643     *:*                                    16060
  UDP    192.168.56.1:52650     *:*                                    16060
  UDP    192.168.56.1:64877     *:*                                    13804
  UDP    192.168.75.1:137       *:*                                    4
  UDP    192.168.75.1:138       *:*                                    4
  UDP    192.168.75.1:1900      *:*                                    16060
  UDP    192.168.75.1:1900      *:*                                    13804
  UDP    192.168.75.1:6771      *:*                                    16060
  UDP    192.168.75.1:52646     *:*                                    16060
  UDP    192.168.75.1:52653     *:*                                    16060
  UDP    192.168.75.1:64880     *:*                                    13804
  UDP    192.168.132.1:137      *:*                                    4
  UDP    192.168.132.1:138      *:*                                    4
  UDP    192.168.132.1:1900     *:*                                    16060
  UDP    192.168.132.1:1900     *:*                                    13804
  UDP    192.168.132.1:6771     *:*                                    16060
  UDP    192.168.132.1:52647    *:*                                    16060
  UDP    192.168.132.1:52654    *:*                                    16060
  UDP    192.168.132.1:64881    *:*                                    13804
  UDP    192.168.208.1:137      *:*                                    4
  UDP    192.168.208.1:138      *:*                                    4
  UDP    192.168.208.1:1900     *:*                                    13804
  UDP    192.168.208.1:1900     *:*                                    16060
  UDP    192.168.208.1:6771     *:*                                    16060
  UDP    192.168.208.1:52644    *:*                                    16060
  UDP    192.168.208.1:52651    *:*                                    16060
  UDP    192.168.208.1:64878    *:*                                    13804
  UDP    192.168.221.1:137      *:*                                    4
  UDP    192.168.221.1:138      *:*                                    4
  UDP    192.168.221.1:1900     *:*                                    16060
  UDP    192.168.221.1:1900     *:*                                    13804
  UDP    192.168.221.1:6771     *:*                                    16060
  UDP    192.168.221.1:52645    *:*                                    16060
  UDP    192.168.221.1:52652    *:*                                    16060
  UDP    192.168.221.1:64879    *:*                                    13804
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    20124
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    20124
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    20124
  UDP    [::]:5353              *:*                                    4056
  UDP    [::]:5353              *:*                                    2288
  UDP    [::]:5355              *:*                                    2288
  UDP    [::]:6771              *:*                                    16060
  UDP    [::]:50071             *:*                                    18412
  UDP    [::]:50080             *:*                                    4076
  UDP    [::]:52664             *:*                                    16060
  UDP    [::]:52666             *:*                                    16060
  UDP    [::]:61956             *:*                                    18412
  UDP    [::1]:1900             *:*                                    13804
  UDP    [::1]:6771             *:*                                    16060
  UDP    [::1]:52661            *:*                                    16060
  UDP    [::1]:64876            *:*                                    13804
  UDP    [fe80::fcb:c39a:efbf:6fbc%14]:1900  *:*                                    13804
  UDP    [fe80::fcb:c39a:efbf:6fbc%14]:6771  *:*                                    16060
  UDP    [fe80::fcb:c39a:efbf:6fbc%14]:6881  *:*                                    16060
  UDP    [fe80::fcb:c39a:efbf:6fbc%14]:52658  *:*                                    16060
